scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate,,,,,,,,,,,,,,,
Haematopus ater,Aves,Charadriiformes,Haematopodidae,Haematopus,ater,,ostrero negro,LC,,06/07/2019,,,,,,,,,,,,,,,
Haematopus palliatus,Aves,Charadriiformes,Haematopodidae,Haematopus,palliatus,,ostrero común,LC,,06/07/2019,,,,,,,,,,,,,,,
Heliobletus contaminatus,Aves,Passeriformes,Furnariidae,Heliobletus,contaminatus,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Heliomaster furcifer,Aves,Apodiformes,Trochilidae,Heliomaster,furcifer,,picaflor de barbijo,LC,,06/07/2019,,,,,,,,,,,,,,,
Hemithraupis ruficapilla,Aves,Passeriformes,Thraupidae,Hemithraupis,ruficapilla,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Hemitriccus margaritaceiventer,Aves,Passeriformes,Tyrannidae,Hemitriccus,margaritaceiventer,,mosqueta ojo dorado,LC,,06/07/2019,,,,,,,,,,,,,,,
Heteronetta atricapilla,Aves,Anseriformes,Anatidae,Heteronetta,atricapilla,,pato cabeza negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Heteroxolmis dominicana,Aves,Passeriformes,Tyrannidae,Heteroxolmis,dominicana,,viudita blanca grande,VU,,06/07/2019,,,,,,,,,,,,,,,
Himantopus mexicanus,Aves,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,,tero real,LC,,06/07/2019,,,,,,,,,,,,,,,
Hirundinea ferruginea,Aves,Passeriformes,Tyrannidae,Hirundinea,ferruginea,,viudita colorada,LC,,06/07/2019,,,,,,,,,,,,,,,
Hirundo rustica,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,,golondrina tijereta,LC,,06/07/2019,,,,,,,,,,,,,,,
Hydropsalis torquata,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,torquata,,dormilón tijereta,LC,,06/07/2019,,,,,,,,,,,,,,,
Hylocharis chrysura,Aves,Apodiformes,Trochilidae,Hylocharis,chrysura,,picaflor bronceado,LC,,06/07/2019,,,,,,,,,,,,,,,
Hymenops perspicillatus,Aves,Passeriformes,Tyrannidae,Hymenops,perspicillatus,,pico de plata,LC,,06/07/2019,,,,,,,,,,,,,,,
Icterus pyrrhopterus,Aves,Passeriformes,Icteridae,Icterus,pyrrhopterus,,boyerín,LC,,06/07/2019,,,,,,,,,,,,,,,
Ixobrychus involucris,Aves,Pelecaniformes,Ardeidae,Ixobrychus,involucris,,mirasol chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Jacana jacana,Aves,Charadriiformes,Jacanidae,Jacana,jacana,,jacana,LC,,06/07/2019,,,,,,,,,,,,,,,
Knipolegus cyanirostris,Aves,Passeriformes,Tyrannidae,Knipolegus,cyanirostris,,viudita negra común,LC,,06/07/2019,,,,,,,,,,,,,,,
Knipolegus lophotes,Aves,Passeriformes,Tyrannidae,Knipolegus,lophotes,,viudita negra copetona,LC,,06/07/2019,,,,,,,,,,,,,,,
Larus atlanticus,Aves,Charadriiformes,Laridae,Larus,atlanticus,,gaviota cangrejera,NT,EN,06/07/2019,,,,,,,,,,,,,,,
Larus dominicanus,Aves,Charadriiformes,Laridae,Larus,dominicanus,,gaviota cocinera,LC,,06/07/2019,,,,,,,,,,,,,,,
Laterallus leucopyrrhus,Aves,Gruiformes,Rallidae,Laterallus,leucopyrrhus,,burrito patas rojas,LC,,06/07/2019,,,,,,,,,,,,,,,
Laterallus melanophaius,Aves,Gruiformes,Rallidae,Laterallus,melanophaius,,burrito patas verdes,LC,,06/07/2019,,,,,,,,,,,,,,,
Lathrotriccus euleri,Aves,Passeriformes,Tyrannidae,Lathrotriccus,euleri,,mosqueta de monte,LC,,06/07/2019,,,,,,,,,,,,,,,
Lepidocolaptes angustirostris,Aves,Passeriformes,Furnariidae,Lepidocolaptes,angustirostris,,trepador chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Lepidocolaptes falcinellus,Aves,Passeriformes,Furnariidae,Lepidocolaptes,falcinellus,,trepador escamado,LC,,06/07/2019,,,,,,,,,,,,,,,
Leptasthenura platensis,Aves,Passeriformes,Furnariidae,Leptasthenura,platensis,,coludito copetón,LC,,06/07/2019,,,,,,,,,,,,,,,
Leptotila rufaxilla,Aves,Columbiformes,Columbidae,Leptotila,rufaxilla,,paloma montaraz oscura,LC,,06/07/2019,,,,,,,,,,,,,,,
Leptotila verreauxi,Aves,Columbiformes,Columbidae,Leptotila,verreauxi,,paloma montaraz común,LC,,06/07/2019,,,,,,,,,,,,,,,
Lessonia rufa,Aves,Passeriformes,Tyrannidae,Lessonia,rufa,,sobrepuesto,LC,,06/07/2019,,,,,,,,,,,,,,,
Leucocarbo atriceps,Aves,Suliformes,Phalacrocoracidae,Leucocarbo,atriceps,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Leucochloris albicollis,Aves,Apodiformes,Trochilidae,Leucochloris,albicollis,,picaflor garganta blanca,LC,,06/07/2019,,,,,,,,,,,,,,,
Leucophaeus pipixcan,Aves,Charadriiformes,Laridae,Leucophaeus,pipixcan,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Limnoctites rectirostris,Aves,Passeriformes,Furnariidae,Limnoctites,rectirostris,,pajonalera pico recto,NT,,06/07/2019,,,,,,,,,,,,,,,
Limnornis curvirostris,Aves,Passeriformes,Furnariidae,Limnornis,curvirostris,,pajonalera pico curvo,LC,,06/07/2019,,,,,,,,,,,,,,,
Limosa haemastica,Aves,Charadriiformes,Scolopacidae,Limosa,haemastica,,becasa de mar,LC,,06/07/2019,,,,,,,,,,,,,,,
Lochmias nematura,Aves,Passeriformes,Furnariidae,Lochmias,nematura,,macuquiño,LC,,06/07/2019,,,,,,,,,,,,,,,
Machetornis rixosa,Aves,Passeriformes,Tyrannidae,Machetornis,rixosa,,margarita,LC,,06/07/2019,,,,,,,,,,,,,,,
Mackenziaena leachii,Aves,Passeriformes,Thamnophilidae,Mackenziaena,leachii,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Macronectes giganteus,Aves,Procellariiformes,Procellariidae,Macronectes,giganteus,,petrel gigante común,LC,,06/07/2019,,,,,,,,,,,,,,,
Macronectes halli,Aves,Procellariiformes,Procellariidae,Macronectes,halli,,petrel gigante oscuro,LC,,06/07/2019,,,,,,,,,,,,,,,
Mareca sibilatrix,Aves,Anseriformes,Anatidae,Mareca,sibilatrix,,pato overo,LC,,06/07/2019,,,,,,,,,,,,,,,
Megaceryle torquata,Aves,Coraciiformes,Alcedinidae,Megaceryle,torquata,,martín pescador grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Megarynchus pitangua,Aves,Passeriformes,Tyrannidae,Megarynchus,pitangua,,pitanguá,LC,,06/07/2019,,,,,,,,,,,,,,,
Megascops choliba,Aves,Strigiformes,Strigidae,Megascops,choliba,,tamborcito común,LC,,06/07/2019,,,,,,,,,,,,,,,
Megascops sanctaecatarinae,Aves,Strigiformes,Strigidae,Megascops,sanctaecatarinae,,tamborcito grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Melanerpes cactorum,Aves,Piciformes,Picidae,Melanerpes,cactorum,,carpintero del cardón,LC,,06/07/2019,,,,,,,,,,,,,,,
Melanerpes candidus,Aves,Piciformes,Picidae,Melanerpes,candidus,,carpintero blanco,LC,,06/07/2019,,,,,,,,,,,,,,,
Milvago chimachima,Aves,Falconiformes,Falconidae,Milvago,chimachima,,chimachima,LC,,06/07/2019,,,,,,,,,,,,,,,
Milvago chimango,Aves,Falconiformes,Falconidae,Milvago,chimango,,chimango,LC,,06/07/2019,,,,,,,,,,,,,,,
Mimus saturninus,Aves,Passeriformes,Mimidae,Mimus,saturninus,,calandria,LC,,06/07/2019,,,,,,,,,,,,,,,
Mimus triurus,Aves,Passeriformes,Mimidae,Mimus,triurus,,calandria tres colas,LC,,06/07/2019,,,,,,,,,,,,,,,
Molothrus bonariensis,Aves,Passeriformes,Icteridae,Molothrus,bonariensis,,tordo común,LC,,06/07/2019,,,,,,,,,,,,,,,
Molothrus rufoaxillaris,Aves,Passeriformes,Icteridae,Molothrus,rufoaxillaris,,tordo pico corto,LC,,06/07/2019,,,,,,,,,,,,,,,
Morus capensis,Aves,Suliformes,Sulidae,Morus,capensis,,,EN,,06/07/2019,,,,,,,,,,,,,,,
Muscisaxicola maclovianus,Aves,Passeriformes,Tyrannidae,Muscisaxicola,maclovianus,,dormilona cara negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Mycteria americana,Aves,Ciconiiformes,Ciconiidae,Mycteria,americana,,cigüeña cabeza pelada,LC,,06/07/2019,,,,,,,,,,,,,,,
Myiarchus ferox,Aves,Passeriformes,Tyrannidae,Myiarchus,ferox,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Myiarchus swainsoni,Aves,Passeriformes,Tyrannidae,Myiarchus,swainsoni,,burlisto común,LC,,06/07/2019,,,,,,,,,,,,,,,
Myiarchus tyrannulus,Aves,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,,burlisto cola castaña,LC,,06/07/2019,,,,,,,,,,,,,,,
Myiodynastes maculatus,Aves,Passeriformes,Tyrannidae,Myiodynastes,maculatus,,benteveo rayado,LC,,06/07/2019,,,,,,,,,,,,,,,
Myiopagis viridicata,Aves,Passeriformes,Tyrannidae,Myiopagis,viridicata,,papamoscas verdoso,LC,,06/07/2019,,,,,,,,,,,,,,,
Myiophobus fasciatus,Aves,Passeriformes,Tyrannidae,Myiophobus,fasciatus,,mosqueta corona amarilla,LC,,06/07/2019,,,,,,,,,,,,,,,
Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,monachus,,cotorra,LC,,06/07/2019,,,,,,,,,,,,,,,
Myiothlypis leucoblephara,Aves,Passeriformes,Parulidae,Myiothlypis,leucoblephara,,arañero oliváceo,LC,,06/07/2019,,,,,,,,,,,,,,,
Neoxolmis rufiventris,Aves,Passeriformes,Tyrannidae,Neoxolmis,rufiventris,,viudita chocolate,LC,,06/07/2019,,,,,,,,,,,,,,,
Netta peposaca,Aves,Anseriformes,Anatidae,Netta,peposaca,,pato picazo,LC,,06/07/2019,,,,,,,,,,,,,,,
Nomonyx dominicus,Aves,Anseriformes,Anatidae,Nomonyx,dominicus,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Nothura maculosa,Aves,Tinamiformes,Tinamidae,Nothura,maculosa,,perdiz,LC,,06/07/2019,,,,,,,,,,,,,,,
Notiochelidon cyanoleuca,Aves,Passeriformes,Hirundinidae,Notiochelidon,cyanoleuca,,golondrina azul chica,LC,,06/07/2019,,,,,,,,,,,,,,,
Numenius phaeopus,Aves,Charadriiformes,Scolopacidae,Numenius,phaeopus,,playero trinador,LC,,06/07/2019,,,,,,,,,,,,,,,
Nyctibius griseus,Aves,Nyctibiiformes,Nyctibiidae,Nyctibius,griseus,,urutaú,LC,,06/07/2019,,,,,,,,,,,,,,,
Nycticorax nycticorax,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,,garza bruja,LC,,06/07/2019,,,,,,,,,,,,,,,
Nycticryphes semicollaris,Aves,Charadriiformes,Rostratulidae,Nycticryphes,semicollaris,,aguatero,LC,,06/07/2019,,,,,,,,,,,,,,,
Nyctidromus albicollis,Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus,albicollis,,curiango,LC,,06/07/2019,,,,,,,,,,,,,,,
Oceanites oceanicus,Aves,Procellariiformes,Hydrobatidae,Oceanites,oceanicus,,paíño pardo,LC,,06/07/2019,,,,,,,,,,,,,,,
Oreopholus ruficollis,Aves,Charadriiformes,Charadriidae,Oreopholus,ruficollis,,chorlo cabezón,LC,EN,06/07/2019,,,,,,,,,,,,,,,
Oxyura vittata,Aves,Anseriformes,Anatidae,Oxyura,vittata,,pato zambullidor,LC,,06/07/2019,,,,,,,,,,,,,,,
Pachyptila belcheri,Aves,Procellariiformes,Procellariidae,Pachyptila,belcheri,,prión pico fino,LC,,06/07/2019,,,,,,,,,,,,,,,
Pachyptila desolata,Aves,Procellariiformes,Procellariidae,Pachyptila,desolata,,prión pico ancho,LC,,06/07/2019,,,,,,,,,,,,,,,
Pachyramphus polychopterus,Aves,Passeriformes,Cotingidae,Pachyramphus,polychopterus,,anambé negro,LC,,06/07/2019,,,,,,,,,,,,,,,
Pachyramphus validus,Aves,Passeriformes,Cotingidae,Pachyramphus,validus,,anambé,LC,,06/07/2019,,,,,,,,,,,,,,,
Pachyramphus viridis,Aves,Passeriformes,Cotingidae,Pachyramphus,viridis,,abambé verdoso,LC,,06/07/2019,,,,,,,,,,,,,,,
Pandion haliaetus,Aves,Accipitriformes,Pandionidae,Pandion,haliaetus,,águila pescadora,LC,,06/07/2019,,,,,,,,,,,,,,,
Parabuteo unicinctus,Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,,gavilán mixto,LC,,06/07/2019,,,,,,,,,,,,,,,
Pardirallus maculatus,Aves,Gruiformes,Rallidae,Pardirallus,maculatus,,gallineta overa,LC,,06/07/2019,,,,,,,,,,,,,,,
Pardirallus sanguinolentus,Aves,Gruiformes,Rallidae,Pardirallus,sanguinolentus,,gallineta común,LC,,06/07/2019,,,,,,,,,,,,,,,
Paroaria capitata,Aves,Passeriformes,Thraupidae,Paroaria,capitata,,cardenilla,LC,,06/07/2019,,,,,,,,,,,,,,,
Paroaria coronata,Aves,Passeriformes,Thraupidae,Paroaria,coronata,,cardenal copete rojo,LC,,06/07/2019,,,,,,,,,,,,,,,
Passer domesticus,Aves,Passeriformes,Passeridae,Passer,domesticus,,gorrión,LC,,06/07/2019,,,,,,,,,,,,,,,
Patagioenas cayennensis,Aves,Columbiformes,Columbidae,Patagioenas,cayennensis,,paloma colorada,LC,,06/07/2019,,,,,,,,,,,,,,,
Patagioenas maculosa,Aves,Columbiformes,Columbidae,Patagioenas,maculosa,,paloma ala manchada,LC,,06/07/2019,,,,,,,,,,,,,,,
Patagioenas picazuro,Aves,Columbiformes,Columbidae,Patagioenas,picazuro,,paloma de monte,LC,,06/07/2019,,,,,,,,,,,,,,,
Penelope obscura,Aves,Galliformes,Cracidae,Penelope,obscura,,pava de monte,LC,,06/07/2019,,,,,,,,,,,,,,,
Petrochelidon pyrrhonota,Aves,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,,golondrina rabadilla canela,LC,,06/07/2019,,,,,,,,,,,,,,,
Phacellodomus ferrugineigula,Aves,Passeriformes,Furnariidae,Phacellodomus,ferrugineigula,,tiotío ojo rojo,LC,,06/07/2019,,,,,,,,,,,,,,,
Phacellodomus ruber,Aves,Passeriformes,Furnariidae,Phacellodomus,ruber,,tiotío grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Phacellodomus sibilatrix,Aves,Passeriformes,Furnariidae,Phacellodomus,sibilatrix,,tiotío chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Phacellodomus striaticollis,Aves,Passeriformes,Furnariidae,Phacellodomus,striaticollis,,tiotío común,LC,,06/07/2019,,,,,,,,,,,,,,,
Phaetusa simplex,Aves,Charadriiformes,Laridae,Phaetusa,simplex,,atí,LC,,06/07/2019,,,,,,,,,,,,,,,
Phalacrocorax brasilianus,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,brasilianus,,biguá,LC,,06/07/2019,,,,,,,,,,,,,,,
Phalaropus tricolor,Aves,Charadriiformes,Scolopacidae,Phalaropus,tricolor,,falaropo común,LC,,06/07/2019,,,,,,,,,,,,,,,
Phimosus infuscatus,Aves,Pelecaniformes,Threskiornithidae,Phimosus,infuscatus,,cuervillo cara pelada,LC,,06/07/2019,,,,,,,,,,,,,,,
Phleocryptes melanops,Aves,Passeriformes,Furnariidae,Phleocryptes,melanops,,junquero,LC,,06/07/2019,,,,,,,,,,,,,,,
Phoenicopterus chilensis,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,chilensis,,flamenco austral,NT,,06/07/2019,,,,,,,,,,,,,,,
Phrygilus fruticeti,Aves,Passeriformes,Thraupidae,Phrygilus,fruticeti,,yal negro,LC,,06/07/2019,,,,,,,,,,,,,,,
Phylloscartes ventralis,Aves,Passeriformes,Tyrannidae,Phylloscartes,ventralis,,ligerito,LC,,06/07/2019,,,,,,,,,,,,,,,
Phytotoma rutila,Aves,Passeriformes,Cotingidae,Phytotoma,rutila,,cortarramas,LC,,06/07/2019,,,,,,,,,,,,,,,
Piaya cayana,Aves,Cuculiformes,Cuculidae,Piaya,cayana,,pirincho de monte,LC,,06/07/2019,,,,,,,,,,,,,,,
Piculus aurulentus,Aves,Piciformes,Picidae,Piculus,aurulentus,,carpintero dorado,NT,,06/07/2019,,,,,,,,,,,,,,,
Picumnus cirratus,Aves,Piciformes,Picidae,Picumnus,cirratus,,carpintero barrado,LC,,06/07/2019,,,,,,,,,,,,,,,
Picumnus nebulosus,Aves,Piciformes,Picidae,Picumnus,nebulosus,,carpintero enano,NT,,06/07/2019,,,,,,,,,,,,,,,
Pipraeidea melanonota,Aves,Passeriformes,Thraupidae,Pipraeidea,melanonota,,viuva,LC,,06/07/2019,,,,,,,,,,,,,,,
Piranga flava,Aves,Passeriformes,Cardinalidae,Piranga,flava,,fueguero,LC,,06/07/2019,,,,,,,,,,,,,,,
Pitangus sulphuratus,Aves,Passeriformes,Tyrannidae,Pitangus,sulphuratus,,benteveo,LC,,06/07/2019,,,,,,,,,,,,,,,
Platalea ajaja,Aves,Pelecaniformes,Threskiornithidae,Platalea,ajaja,,espátula rosada,LC,,06/07/2019,,,,,,,,,,,,,,,
Plegadis chihi,Aves,Pelecaniformes,Threskiornithidae,Plegadis,chihi,,cuervillo de cañada,LC,,06/07/2019,,,,,,,,,,,,,,,
Pluvialis dominica,Aves,Charadriiformes,Charadriidae,Pluvialis,dominica,,chorlo dorado,LC,,06/07/2019,,,,,,,,,,,,,,,
Pluvialis squatarola,Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,,chorlo ártico,LC,,06/07/2019,,,,,,,,,,,,,,,
Podiceps major,Aves,Podicipediformes,Podicipedidae,Podiceps,major,,macá grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Podilymbus podiceps,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,,macá pico grueso,LC,,06/07/2019,,,,,,,,,,,,,,,
Poecilotriccus plumbeiceps,Aves,Passeriformes,Tyrannidae,Poecilotriccus,plumbeiceps,,mosqueta cara canela,LC,,06/07/2019,,,,,,,,,,,,,,,
Polioptila dumicola,Aves,Passeriformes,Polioptilidae,Polioptila,dumicola,,piojito azulado,LC,,06/07/2019,,,,,,,,,,,,,,,
Polystictus pectoralis,Aves,Passeriformes,Tyrannidae,Polystictus,pectoralis,,tachurí canela,NT,,06/07/2019,,,,,,,,,,,,,,,
Poospiza cabanisi,Aves,Passeriformes,Thraupidae,Poospiza,cabanisi,,monterita rabadilla roja,LC,,06/07/2019,,,,,,,,,,,,,,,
Poospiza cinerea,Aves,Passeriformes,Thraupidae,Poospiza,cinerea,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Poospiza lateralis,Aves,Passeriformes,Thraupidae,Poospiza,lateralis,,monterita rabadilla roja,LC,,06/07/2019,,,,,,,,,,,,,,,
Poospiza melanoleuca,Aves,Passeriformes,Thraupidae,Poospiza,melanoleuca,,monterita cabeza negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Poospiza nigrorufa,Aves,Passeriformes,Thraupidae,Poospiza,nigrorufa,,sietevestidos,LC,,06/07/2019,,,,,,,,,,,,,,,
Poospiza ornata,Aves,Passeriformes,Thraupidae,Poospiza,ornata,,monterita canela,LC,,06/07/2019,,,,,,,,,,,,,,,
Porphyrio martinica,Aves,Gruiformes,Rallidae,Porphyrio,martinica,,polla azul,LC,,06/07/2019,,,,,,,,,,,,,,,
Porphyriops melanops,Aves,Gruiformes,Rallidae,Porphyriops,melanops,,polla pintada,LC,,06/07/2019,,,,,,,,,,,,,,,
Porzana spiloptera,Aves,Gruiformes,Rallidae,Porzana,spiloptera,,burrito plomizo,VU,,06/07/2019,,,,,,,,,,,,,,,
Procellaria aequinoctialis,Aves,Procellariiformes,Procellariidae,Procellaria,aequinoctialis,,petrel barba blanca,VU,,06/07/2019,,,,,,,,,,,,,,,
Progne chalybea,Aves,Passeriformes,Hirundinidae,Progne,chalybea,,golondrina azul grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Progne elegans,Aves,Passeriformes,Hirundinidae,Progne,elegans,,golondrina negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Progne tapera,Aves,Passeriformes,Hirundinidae,Progne,tapera,,golondrina parda grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Pseudocolopteryx flaviventris,Aves,Passeriformes,Tyrannidae,Pseudocolopteryx,flaviventris,,piojito amarillo,LC,,06/07/2019,,,,,,,,,,,,,,,
Pseudoleistes guirahuro,Aves,Passeriformes,Icteridae,Pseudoleistes,guirahuro,,canario de la sierra,LC,,06/07/2019,,,,,,,,,,,,,,,
Pseudoleistes virescens,Aves,Passeriformes,Icteridae,Pseudoleistes,virescens,,pecho amarillo,LC,,06/07/2019,,,,,,,,,,,,,,,
Pseudoscops clamator,Aves,Strigiformes,Strigidae,Pseudoscops,clamator,,lechuzón orejudo,LC,,06/07/2019,,,,,,,,,,,,,,,
Pseudoseisura lophotes,Aves,Passeriformes,Furnariidae,Pseudoseisura,lophotes,,hornerón,LC,,06/07/2019,,,,,,,,,,,,,,,
Psittacara leucophthalmus,Aves,Psittaciformes,Psittacidae,Psittacara,leucophthalmus,,loro maracaná,LC,,06/07/2019,,,,,,,,,,,,,,,
Pterodroma incerta,Aves,Procellariiformes,Procellariidae,Pterodroma,incerta,,petrel cabez parda,EN,EN,06/07/2019,,,,,,,,,,,,,,,
Pterodroma mollis,Aves,Procellariiformes,Procellariidae,Pterodroma,mollis,,petrel collar gris,LC,,06/07/2019,,,,,,,,,,,,,,,
Puffinus puffinus,Aves,Procellariiformes,Procellariidae,Puffinus,puffinus,,pardela boreal,LC,,06/07/2019,,,,,,,,,,,,,,,
Pyrocephalus rubinus,Aves,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,,churrinche,LC,,06/07/2019,,,,,,,,,,,,,,,
Pyrrhura frontalis,Aves,Psittaciformes,Psittacidae,Pyrrhura,frontalis,,chiripepe,LC,,06/07/2019,,,,,,,,,,,,,,,
Ramphastos toco,Aves,Piciformes,Ramphastidae,Ramphastos,toco,,tucán grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Rhea americana,Aves,Rheiformes,Rheidae,Rhea,americana,,ñandú,NT,,06/07/2019,,,,,,,,,,,,,,,
Rhynchotus rufescens,Aves,Tinamiformes,Tinamidae,Rhynchotus,rufescens,,martineta,LC,,06/07/2019,,,,,,,,,,,,,,,
Riparia riparia,Aves,Passeriformes,Hirundinidae,Riparia,riparia,,golondrina parda chica,LC,,06/07/2019,,,,,,,,,,,,,,,
Rollandia rolland,Aves,Podicipediformes,Podicipedidae,Rollandia,rolland,,macá común,LC,,06/07/2019,,,,,,,,,,,,,,,
Rostrhamus sociabilis,Aves,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,,caracolero,LC,,06/07/2019,,,,,,,,,,,,,,,
Rupornis magnirostris,Aves,Accipitriformes,Accipitridae,Rupornis,magnirostris,,gavilán común,LC,,06/07/2019,,,,,,,,,,,,,,,
Rynchops niger,Aves,Charadriiformes,Laridae,Rynchops,niger,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Saltator aurantiirostris,Aves,Passeriformes,Cardinalidae,Saltator,aurantiirostris,,rey del bosque común,LC,,06/07/2019,,,,,,,,,,,,,,,
Saltator coerulescens,Aves,Passeriformes,Cardinalidae,Saltator,coerulescens,,rey del bosque gris,LC,,06/07/2019,,,,,,,,,,,,,,,
Saltator similis,Aves,Passeriformes,Cardinalidae,Saltator,similis,,rey del bosque verdoso,LC,,06/07/2019,,,,,,,,,,,,,,,
Saltatricula multicolor,Aves,Passeriformes,Thraupidae,Saltatricula,multicolor,,pepitero chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Satrapa icterophrys,Aves,Passeriformes,Tyrannidae,Satrapa,icterophrys,,vinchero,LC,,06/07/2019,,,,,,,,,,,,,,,
Schoeniophylax phryganophilus,Aves,Passeriformes,Furnariidae,Schoeniophylax,phryganophilus,,chotoy,LC,,06/07/2019,,,,,,,,,,,,,,,
Serpophaga griseicapilla,Aves,Passeriformes,Tyrannidae,Serpophaga,griseicapilla,,tiquitiqui trinador,LC,,06/07/2019,,,,,,,,,,,,,,,
Serpophaga munda,Aves,Passeriformes,Tyrannidae,Serpophaga,munda,,tiquitiqui vientre blanco,LC,,06/07/2019,,,,,,,,,,,,,,,
Serpophaga nigricans,Aves,Passeriformes,Tyrannidae,Serpophaga,nigricans,,tiquitiqui oscuro,LC,,06/07/2019,,,,,,,,,,,,,,,
Serpophaga subcristata,Aves,Passeriformes,Tyrannidae,Serpophaga,subcristata,,tiquitiqui común,LC,,06/07/2019,,,,,,,,,,,,,,,
Setopagis parvula,Aves,Caprimulgiformes,Caprimulgidae,Setopagis,parvula,,dormilón chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Setophaga pitiayumi,Aves,Passeriformes,Parulidae,Setophaga,pitiayumi,,pitiayumí,LC,,06/07/2019,,,,,,,,,,,,,,,
Sicalis flaveola,Aves,Passeriformes,Thraupidae,Sicalis,flaveola,,dorado,LC,,06/07/2019,,,,,,,,,,,,,,,
Sicalis luteola,Aves,Passeriformes,Thraupidae,Sicalis,luteola,,misto,LC,,06/07/2019,,,,,,,,,,,,,,,
Sittasomus griseicapillus,Aves,Passeriformes,Furnariidae,Sittasomus,griseicapillus,,taferero,LC,,06/07/2019,,,,,,,,,,,,,,,
Spartonoica maluroides,Aves,Passeriformes,Furnariidae,Spartonoica,maluroides,,espartillero enano,NT,,06/07/2019,,,,,,,,,,,,,,,
Spatula platalea,Aves,Anseriformes,Anatidae,Spatula,platalea,,pato cuchara,LC,,06/07/2019,,,,,,,,,,,,,,,
Spatula versicolor,Aves,Anseriformes,Anatidae,Spatula,versicolor,,pato capuchino,LC,,06/07/2019,,,,,,,,,,,,,,,
Spheniscus magellanicus,Aves,Sphenisciformes,Spheniscidae,Spheniscus,magellanicus,,pingüino de magallanes,NT,,06/07/2019,,,,,,,,,,,,,,,
Spinus magellanicus,Aves,Passeriformes,Fringillidae,Spinus,magellanicus,,cabecita negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Sporophila caerulescens,Aves,Passeriformes,Thraupidae,Sporophila,caerulescens,,gargantillo,LC,,06/07/2019,,,,,,,,,,,,,,,
Sporophila cinnamomea,Aves,Passeriformes,Thraupidae,Sporophila,cinnamomea,,capuchino corona gris,VU,,06/07/2019,,,,,,,,,,,,,,,
Sporophila collaris,Aves,Passeriformes,Thraupidae,Sporophila,collaris,,dominó,LC,,06/07/2019,,,,,,,,,,,,,,,
Sporophila hypochroma,Aves,Passeriformes,Thraupidae,Sporophila,hypochroma,,capuchino castaño,NT,,06/07/2019,,,,,,,,,,,,,,,
Sporophila hypoxantha,Aves,Passeriformes,Thraupidae,Sporophila,hypoxantha,,capuchino canela,LC,,06/07/2019,,,,,,,,,,,,,,,
Sporophila palustris,Aves,Passeriformes,Thraupidae,Sporophila,palustris,,capuchino pecho blanco,EN,,06/07/2019,,,,,,,,,,,,,,,
Sporophila ruficollis,Aves,Passeriformes,Thraupidae,Sporophila,ruficollis,,capuchino garganta café,NT,,06/07/2019,,,,,,,,,,,,,,,
Stelgidopteryx ruficollis,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,ruficollis,,golondrina cuello canela,LC,,06/07/2019,,,,,,,,,,,,,,,
