scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate,,,,,,,,,,,,,,,
Bubulcus ibis,Aves,Pelecaniformes,Ardeidae,Bubulcus,ibis,,garza bueyera,LC,,06/07/2019,,,,,,,,,,,,,,,
Busarellus nigricollis,Aves,Accipitriformes,Accipitridae,Busarellus,nigricollis,,águila pampa,LC,,06/07/2019,,,,,,,,,,,,,,,
Buteo albicaudatus,Aves,Accipitriformes,Accipitridae,Buteo,albicaudatus,,águila cola blanca,LC,,06/07/2019,,,,,,,,,,,,,,,
Buteo brachyurus,Aves,Accipitriformes,Accipitridae,Buteo,brachyurus,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Buteo swainsoni,Aves,Accipitriformes,Accipitridae,Buteo,swainsoni,,aguilucho langostero,LC,,06/07/2019,,,,,,,,,,,,,,,
Buteogallus meridionalis,Aves,Accipitriformes,Accipitridae,Buteogallus,meridionalis,,águila colorada,LC,,06/07/2019,,,,,,,,,,,,,,,
Buteogallus urubitinga,Aves,Accipitriformes,Accipitridae,Buteogallus,urubitinga,,águila negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Butorides striata,Aves,Pelecaniformes,Ardeidae,Butorides,striata,,garcita azulada,LC,,06/07/2019,,,,,,,,,,,,,,,
Cacicus chrysopterus,Aves,Passeriformes,Icteridae,Cacicus,chrysopterus,,boyero ala amarilla,LC,,06/07/2019,,,,,,,,,,,,,,,
Cacicus haemorrhous,Aves,Passeriformes,Icteridae,Cacicus,haemorrhous,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Cacicus solitarius,Aves,Passeriformes,Icteridae,Cacicus,solitarius,,boyero negro,LC,,06/07/2019,,,,,,,,,,,,,,,
Cairina moschata,Aves,Anseriformes,Anatidae,Cairina,moschata,,pato criollo,LC,EN,06/07/2019,,,,,,,,,,,,,,,
Calidris alba,Aves,Charadriiformes,Scolopacidae,Calidris,alba,,playerito blanco,LC,,06/07/2019,,,,,,,,,,,,,,,
Calidris bairdii,Aves,Charadriiformes,Scolopacidae,Calidris,bairdii,,playerito unicolor,LC,,06/07/2019,,,,,,,,,,,,,,,
Calidris canutus,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,,playero rojizo,NT,EN,06/07/2019,,,,,,,,,,,,,,,
Calidris fuscicollis,Aves,Charadriiformes,Scolopacidae,Calidris,fuscicollis,,playerito rabadilla blanca,LC,,06/07/2019,,,,,,,,,,,,,,,
Calidris himantopus,Aves,Charadriiformes,Scolopacidae,Calidris,himantopus,,playero zancudo,LC,,06/07/2019,,,,,,,,,,,,,,,
Calidris melanotos,Aves,Charadriiformes,Scolopacidae,Calidris,melanotos,,playerito pecho gris,LC,,06/07/2019,,,,,,,,,,,,,,,
Calidris pusilla,Aves,Charadriiformes,Scolopacidae,Calidris,pusilla,,playerito enano,NT,,06/07/2019,,,,,,,,,,,,,,,
Calidris subruficollis,Aves,Charadriiformes,Scolopacidae,Calidris,subruficollis,,playerito canela,NT,,06/07/2019,,,,,,,,,,,,,,,
Callonetta leucophrys,Aves,Anseriformes,Anatidae,Callonetta,leucophrys,,pato de collar,LC,,06/07/2019,,,,,,,,,,,,,,,
Calonectris diomedea,Aves,Procellariiformes,Procellariidae,Calonectris,diomedea,,pardela grande,LC,,06/07/2019,,,,,,,,,,,,,,,
