scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate
Kogia breviceps,Mammalia,Cetacea,Kogiidae,Kogia,breviceps,,cachalote pigmeo,DD,,06/07/2019
Kogia sima,Mammalia,Cetacea,Kogiidae,Kogia,sima,,cachalote enano,DD,,06/07/2019
Lagenodelphis hosei,Mammalia,Cetacea,Delphinidae,Lagenodelphis,hosei,,delfín de Fraser,LC,,06/07/2019
Lasiurus blossevillii,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,blossevillii,,murciélago colorado,LC,,06/07/2019
Lasiurus borealis,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,borealis,,,LC,,06/07/2019
Lasiurus cinereus,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,cinereus,,murciélago escarchado,LC,,06/07/2019
Lasiurus ega,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,ega,,murciélago de las palmeras,LC,,06/07/2019
Leopardus braccatus,Mammalia,Carnivora,Felidae,Leopardus,braccatus,,gato pajero,NT,,06/07/2019
Leopardus geoffroyi,Mammalia,Carnivora,Felidae,Leopardus,geoffroyi,,gato montés,LC,,06/07/2019
Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,pardalis,,ocelote,LC,,06/07/2019
Leopardus wiedii,Mammalia,Carnivora,Felidae,Leopardus,wiedii,,margay,NT,,06/07/2019
Lontra longicaudis,Mammalia,Carnivora,Mustelidae,Lontra,longicaudis,,lobito de río,NT,,06/07/2019
Lundomys molitor,Mammalia,Rodentia,Cricetidae,Lundomys,molitor,,rata de agua grande,LC,,06/07/2019
Lutreolina crassicaudata,Mammalia,Didelphimorphia,Didelphidae,Lutreolina,crassicaudata,,comadreja colorada grande,LC,,06/07/2019
Lycalopex gymnocercus,Mammalia,Carnivora,Canidae,Lycalopex,gymnocercus,,zorro gris,LC,,06/07/2019
Mazama gouazoubira,Mammalia,Artiodactyla,Cervidae,Mazama,gouazoubira,,guazubirá,LC,,06/07/2019
Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,novaeangliae,,ballena jorobada,LC,,06/07/2019
Mesoplodon bowdoini,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon,bowdoini,,zifio de Andrews,DD,,06/07/2019
Mesoplodon layardii,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon,layardii,,zifio de Layard,DD,,06/07/2019
