Species,
Mazama gouazoubira
Axis axis
Sus scrofa
Cerdocyon thous
Chrysocyon brachyurus
Lycalopex gymnocercus
Leopardus wiedii
Leopardus braccatus
Leopardus geoffroyi
Puma yagouaroundi
Lontra longicaudis
Conepatus chinga
Galictis cuja
Procyon cancrivorus
Dasypus novemcinctus
Euphractus sexcinctus
Cabassous tatouay
Didelphis albiventris
Lepus europaeus
Cuniculus paca
No species
Hydrochoerus hydrochaeris
Tamandua tetradactyla
