GridID,NR,SR,TP,ER
1,6,4,0,0.063905357
2,80,17,0,2.173188464
3,108,18,0.0648148,2.900167996
4,0,0,0,0
5,45,19,0.0222222,1.074359357
6,16,10,0.1875,0.556457525
7,54,21,0.0925926,1.480736331
8,9,8,0,0.161634685
9,0,0,0,0
10,21,14,0,0.457537444
11,59,22,0.0169492,1.857824537
12,28,12,0,0.707505107
13,35,17,0,0.635330649
14,56,19,0.0178571,1.088992442
15,31,17,0.0967742,2.123632156
16,15,10,0,0.222442683
17,9,8,0.1111111,0.754593501
18,2,2,0,0.021333333
19,23,18,0.0434783,1.043320914
20,22,13,0.2272727,0.705494849
21,6,5,0,0.07642827
22,6,5,0,0.087167536
23,1,1,0,0.008
24,19,14,0.0526316,0.779622917
25,0,0,0,0
26,25,15,0,0.660569345
27,9,9,0,0.159146153
28,3,3,0,0.049832195
29,0,0,0,0
30,44,15,0,0.868591471
31,11,9,0,0.261018767
32,28,13,0,0.506011848
33,1,1,1,0.333333333
34,20,15,0,0.442095585
35,6,5,0,0.093609972
36,75,19,0.0533333,2.121756612
37,6,5,0,0.076609879
38,2,2,0,0.02449731
39,0,0,0,0
40,5,5,0,0.052410129
41,11,11,0,0.142406203
42,6,5,0,0.092301105
43,0,0,0,0
44,1,1,0,0.05
45,0,0,0,0
46,0,0,0,0
47,1,1,0,0.033333333
48,19,13,0,0.308468482
49,15,10,0,0.28001185
50,1,1,0,0.01
51,0,0,0,0
52,5,4,0,0.059860831
53,36,22,0.0555556,1.06960754
54,0,0,0,0
55,7,5,0,0.092507516
56,1,1,0,0.01
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,1,1,0,0.022222222
61,17,15,0,0.303797253
62,0,0,0,0
63,2,2,0,0.034567901
64,0,0,0,0
65,1,1,0,0.012345679
66,8,8,0,0.119729104
67,0,0,0,0
68,7,7,0,0.108613415
69,1,1,0,0.009345794
70,5,3,0,0.060848485
71,0,0,0,0
72,3,2,0,0.27
73,64,24,0.15625,3.626491376
74,2,2,0,0.022679128
75,0,0,0,0
76,7,7,0,0.112615063
77,7,7,0,0.092485696
