GridID,NR,SR,E,TP
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,3,3,0.0385398,0
5,1,1,0.3333333,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,5,4,0.0488897,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,14,10,0.218156,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,1,1,0.0136986,0
26,8,7,0.1918733,0
27,3,3,0.0704969,0
28,10,10,0.1328824,0
29,1,1,0.0102041,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,4,4,0.0496348,0
40,0,0,0,0
41,0,0,0,0
42,1,1,0.0078125,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,1,1,0.0106383,0
50,1,1,0.0078125,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,3,3,0.1447647,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,6,5,0.3654444,0.2
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,10,10,0.6178036,0.1
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,2,2,0.0177812,0
89,13,6,0.1431936,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,2,2,0.0302041,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,2,2,0.0439716,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,5,5,0.0592618,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,22,18,1.7311603,0.0555556
115,0,0,0,0
116,0,0,0,0
117,6,6,0.078936,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,18,15,0.3091147,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,3,2,0.0334821,0
131,29,16,1.1667789,0.0625
132,1,1,0.0136986,0
133,1,1,0.008,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,7,7,0.0974154,0
141,0,0,0,0
142,23,13,0.49624,0.0769231
143,0,0,0,0
144,5,5,0.0584843,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,12,12,0.4111332,0.0833333
151,0,0,0,0
152,0,0,0,0
153,9,7,0.2317512,0
154,0,0,0,0
155,7,7,0.0832442,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,1,1,0.0062112,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,1,1,0.0071429,0
166,15,13,0.6956311,0
167,0,0,0,0
168,0,0,0,0
169,1,1,0.05,0
170,1,1,0.0062112,0
171,0,0,0,0
172,4,4,0.1349069,0
173,10,8,0.291361,0.125
174,0,0,0,0
175,3,3,0.0243122,0
176,0,0,0,0
177,0,0,0,0
178,5,5,0.0396904,0
179,0,0,0,0
180,11,10,0.1402446,0
181,5,5,0.0475029,0
182,1,1,0.0071429,0
183,1,1,0.008,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,6,6,0.0676586,0
189,11,9,0.1552943,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,7,7,0.1152263,0.1428571
196,2,2,0.0251929,0
197,0,0,0,0
198,0,0,0,0
199,5,5,0.0483855,0
200,0,0,0,0
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
204,2,1,0.0235294,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,7,7,0.0583276,0
211,0,0,0,0
212,4,4,0.0369241,0
213,8,8,0.0945377,0
214,13,13,0.5388522,0
215,6,5,0.0750581,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,4,3,0.0400683,0
222,1,1,0.0909091,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,6,5,0.0747254,0
230,0,0,0,0
231,0,0,0,0
232,6,6,0.1227095,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
238,1,1,0.0062112,0
239,0,0,0,0
240,11,11,0.135226,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,1,1,0.0074627,0
250,0,0,0,0
