GridID,X,Y
176,-56.7601013,-32.6498985
177,-56.4934998,-32.6491013
178,-56.2270012,-32.6477013
179,-55.9603996,-32.6458015
180,-55.6939011,-32.6432991
181,-55.4275017,-32.6403008
182,-55.1610985,-32.6366005
183,-54.8946991,-32.6324005
184,-54.6283989,-32.6277008
185,-54.3620987,-32.6223984
186,-54.0960007,-32.6165009
187,-53.8298988,-32.6100998
188,-53.5665016,-32.6050987
189,-53.3250999,-32.6523018
190,-58.0629005,-32.4286003
191,-57.8242989,-32.4219017
192,-57.5583992,-32.4233017
193,-57.2924995,-32.4241982
194,-57.0265999,-32.4245987
195,-56.7607002,-32.4243011
196,-56.4948006,-32.4235992
197,-56.2289009,-32.4221992
198,-55.9630013,-32.4202995
199,-55.6972008,-32.4179001
200,-55.4314003,-32.4147987
201,-55.1655998,-32.4112015
202,-54.8998985,-32.4071007
203,-54.6343002,-32.402401
204,-54.3686981,-32.3970985
205,-54.103199,-32.3913002
206,-53.8377991,-32.3848991
207,-53.6515999,-32.4043007
208,-58.0405006,-32.1850014
209,-57.8222008,-32.1963997
210,-57.5569992,-32.1977997
211,-57.2918015,-32.1987
212,-57.0265007,-32.1990013
213,-56.7612991,-32.1987991
214,-56.4959984,-32.1980019
215,-56.2308006,-32.196701
216,-55.9655991,-32.1948013
217,-55.7004013,-32.1924019
218,-55.4352989,-32.1893997
219,-55.1702003,-32.1857986
220,-54.9051018,-32.1817017
221,-54.6400986,-32.1769981
222,-54.3751984,-32.1717987
223,-54.1104012,-32.1660004
224,-53.8540001,-32.1668015
225,-53.6952019,-32.2383995
226,-58.0560989,-31.9631004
227,-57.8202019,-31.9708004
228,-57.5555992,-31.9722996
229,-57.2910995,-31.9731998
230,-57.0265007,-31.9734993
231,-56.7619019,-31.9733009
232,-56.4972992,-31.9724998
233,-56.2327003,-31.9712009
234,-55.9681015,-31.9692993
235,-55.7036018,-31.9668999
236,-55.4390984,-31.9638996
237,-55.1747017,-31.9603996
238,-54.9103012,-31.9563007
239,-54.6459007,-31.9517002
240,-54.3815994,-31.9465008
241,-54.1305008,-31.9659996
242,-53.9277,-32.0043983
243,-58.0074997,-31.7721996
244,-57.8181992,-31.7453003
245,-57.5542984,-31.7467003
246,-57.2902985,-31.7476006
247,-57.0264015,-31.7479
248,-56.7624016,-31.7476997
249,-56.4985008,-31.7469997
250,-56.2346001,-31.7457008
251,-55.9706001,-31.7437992
252,-55.7067986,-31.7413998
253,-55.4429016,-31.7383995
254,-55.1791,-31.7348995
255,-54.9152985,-31.7308998
256,-54.6515999,-31.7262993
257,-54.4227982,-31.7516003
258,-54.2410011,-31.8211994
259,-57.9928017,-31.4934006
260,-57.8162994,-31.5198002
261,-57.5530014,-31.5212002
262,-57.2896004,-31.5221004
263,-57.0262985,-31.5223999
264,-56.7630005,-31.5221996
265,-56.4996986,-31.5214005
266,-56.2364006,-31.5200996
267,-55.9730988,-31.5182991
268,-55.7098999,-31.5158997
269,-55.446701,-31.5130005
270,-55.1834984,-31.5095005
271,-54.9253998,-31.5105991
272,-54.6674004,-31.5319996
273,-54.5003014,-31.5730991
274,-57.9631996,-31.3570004
275,-57.8028984,-31.3057995
276,-57.5516014,-31.2956009
277,-57.2890015,-31.2964993
278,-57.0262985,-31.2968006
279,-56.7635994,-31.2966003
280,-56.5009003,-31.2957993
281,-56.2382011,-31.2945995
282,-55.9756012,-31.2926998
283,-55.7130013,-31.2903996
284,-55.4504013,-31.2875004
285,-55.2162018,-31.3185005
286,-54.9985008,-31.3462009
287,-57.7741013,-31.0748997
288,-57.5503006,-31.0701008
289,-57.2882996,-31.0709
290,-57.0261993,-31.0711994
291,-56.7640991,-31.0709991
292,-56.5021019,-31.0702991
293,-56.2400017,-31.0690002
294,-55.9808006,-31.0697994
295,-55.7064018,-31.0753002
296,-55.4729004,-31.0753002
297,-55.3040009,-31.1590004
298,-57.7373009,-30.8458004
299,-57.5489998,-30.8444996
300,-57.2876015,-30.8453999
301,-57.0261002,-30.8456993
302,-56.7647018,-30.8453999
303,-56.5032005,-30.8446999
304,-56.2420006,-30.8437004
305,-56.0466003,-30.8708992
306,-55.6226997,-30.9011002
307,-55.5507011,-30.9111996
308,-57.7579002,-30.6065006
309,-57.5477982,-30.6189003
310,-57.2868996,-30.6198006
311,-57.0261002,-30.6201
312,-56.7652016,-30.6198997
313,-56.5043983,-30.6191006
314,-56.2792015,-30.6429996
315,-57.7414017,-30.4610996
316,-57.5393982,-30.3992004
317,-57.2853012,-30.3964996
318,-57.026001,-30.3945007
319,-56.7658005,-30.3943005
320,-56.5415001,-30.4228992
321,-56.3591995,-30.5002995
322,-57.5782013,-30.2388
323,-57.2204018,-30.2604008
324,-57.0191002,-30.1933994
325,-56.7921982,-30.2064991
326,-56.6245003,-30.2670994
